300 33585
0 2 7.16
0 4 8.88
0 5 11.4
0 6 10.5
0 9 9.08
0 10 6.09
0 11 8.19
0 14 8.67
0 16 6.05
0 17 9.19
0 20 7
0 22 8.11
0 23 9.65
0 24 10.8
0 26 11.3
0 30 6.85
0 33 7.26
0 36 12
0 38 7.6
0 41 8.26
0 43 6.34
0 44 11.5
0 47 10.1
0 50 7.23
0 51 8.81
0 54 6.65
0 57 9.65
0 58 8.17
0 59 7.35
0 69 10.2
0 74 10.2
0 76 6.42
0 77 10.1
0 81 7.15
0 83 8.85
0 84 9.02
0 85 8.43
0 86 9.41
0 87 10.5
0 88 8.85
0 90 11
0 91 9.1
0 93 6.63
0 95 9.3
0 97 8.25
0 98 7.9
0 102 10.4
0 103 7.18
0 108 6.16
0 109 9.44
0 110 9.19
0 111 11.1
0 114 11.1
0 117 7.88
0 119 8.02
0 120 10.4
0 122 9.6
0 123 7.52
0 125 6.37
0 129 9.32
0 130 6.68
0 131 10.5
0 132 9.26
0 141 9.77
0 144 10.2
0 150 12
0 151 9.75
0 152 8.63
0 154 11.4
0 158 7.21
0 159 9.62
0 160 8.8
0 161 9.81
0 163 9.75
0 166 7.11
0 167 9.33
0 168 7.46
0 169 9.63
0 170 9.51
0 174 9.67
0 177 6.89
0 178 11.2
0 179 9.69
0 182 11.9
0 184 7.84
0 185 6.65
0 186 11.1
0 187 6.93
0 192 9.27
0 193 8.45
0 194 8.79
0 197 10.4
0 198 11
0 201 7.8
0 203 6.39
0 205 9.66
0 207 11.3
0 209 6.63
0 214 9.98
0 215 8.96
0 217 10.8
0 218 8.29
0 221 8.37
0 222 10.2
0 223 9.74
0 224 8.95
0 225 8.98
0 226 10.7
0 230 7.06
0 231 6.79
0 232 11.7
0 233 6.17
0 238 11.2
0 239 10.3
0 240 6.09
0 242 9.7
0 244 7.01
0 245 8.05
0 246 8.21
0 247 10.8
0 249 9.67
0 250 11.4
0 253 7.52
0 254 11.1
0 255 8.57
0 256 7.81
0 257 7.35
0 260 6.81
0 264 10.5
0 265 8.17
0 266 7.37
0 267 7.38
0 268 9.25
0 269 6.32
0 270 9.15
0 271 6.57
0 272 11.3
0 275 11.6
0 280 8.39
0 281 11.7
0 284 10.2
0 286 6.03
0 288 8.39
0 290 7.53
0 292 8.61
0 293 6.04
0 296 9.46
0 297 7.33
0 298 6.03
0 299 6.49
1 4 9.97
1 5 10.8
1 6 10.1
1 7 10.1
1 8 10.7
1 10 9.87
1 11 6.51
1 12 11.7
1 15 11.9
1 17 11.5
1 19 7.31
1 21 9.13
1 22 6.64
1 23 8.65
1 31 6.02
1 32 6.68
1 33 7.87
1 35 7.51
1 41 7.17
